>ENCSR025EYJ_DNASE_plus
0.2139	0.2838	0.2842	0.2182
0.2113	0.2824	0.2996	0.2067
0.2135	0.3112	0.2718	0.2035
0.2276	0.2849	0.2816	0.2059
0.2089	0.2828	0.2971	0.2113
0.1743	0.2846	0.3475	0.1936
0.2083	0.2720	0.3044	0.2153
0.3201	0.1829	0.2597	0.2373
0.0864	0.4722	0.2397	0.2017
0.2282	0.2500	0.2021	0.3197
0.1608	0.3038	0.3118	0.2236
0.1849	0.3415	0.3668	0.1068
0.1952	0.3789	0.2039	0.2220
0.2504	0.3022	0.2224	0.2250
0.2389	0.2641	0.2712	0.2258
0.2117	0.2873	0.2923	0.2087
0.2125	0.2909	0.2961	0.2006
0.2049	0.3139	0.2750	0.2061
0.1976	0.3102	0.2846	0.2077
0.1998	0.3066	0.2855	0.2081
>ENCSR025EYJ_DNASE_minus
0.1876	0.2977	0.3066	0.2081
0.2055	0.2983	0.2969	0.1992
0.1841	0.3018	0.3078	0.2063
0.1974	0.2828	0.2996	0.2202
0.2047	0.3022	0.2766	0.2166
0.2272	0.2826	0.2707	0.2194
0.2446	0.2391	0.2859	0.2305
0.2339	0.1976	0.3672	0.2012
0.1039	0.3537	0.3546	0.1878
0.2325	0.3151	0.3010	0.1515
0.3185	0.1920	0.2556	0.2339
0.2081	0.2321	0.4799	0.0800
0.2442	0.2575	0.1960	0.3024
0.2178	0.3034	0.2756	0.2033
0.1942	0.3493	0.2945	0.1620
0.2180	0.3042	0.2675	0.2103
0.2103	0.2957	0.2744	0.2196
0.2125	0.2780	0.2879	0.2216
0.2087	0.2790	0.3058	0.2065
0.2063	0.2929	0.2943	0.2065
>ENCSR000EMN_DNASE_plus
0.2730	0.2649	0.2150	0.2472
0.2691	0.2555	0.2241	0.2513
0.2687	0.2730	0.2087	0.2496
0.2588	0.2596	0.2334	0.2482
0.2200	0.2644	0.2452	0.2703
0.1835	0.3103	0.2847	0.2215
0.2200	0.2563	0.2596	0.2640
0.3425	0.1941	0.2024	0.2610
0.0740	0.5744	0.1383	0.2132
0.2488	0.2247	0.1115	0.4149
0.2103	0.2085	0.2235	0.3577
0.3466	0.2596	0.3036	0.0902
0.2853	0.3168	0.1655	0.2324
0.3040	0.2342	0.2234	0.2384
0.3022	0.2105	0.2385	0.2488
0.2697	0.2592	0.2296	0.2415
0.2539	0.2689	0.2253	0.2519
0.2876	0.2669	0.2253	0.2202
0.2638	0.2754	0.2206	0.2401
0.2766	0.2687	0.2312	0.2235
