Pattern	Num_Seqlets	Label	Match_1	q-value	Match_2	q-value	Match_3	q-value	Match_4	q-value	Match_5	q-value	Match_6	q-value	Match_7	q-value	Match_8	q-value	Match_9	q-value	Match_10	q-value
metacluster_0.pattern_0	12328	CTCF	CTCF_MA0139.1	6.02292E-16	CTCF_HUMAN.H11MO.0.A	4.48432E-12	CTCF_MOUSE.H11MO.0.A	2.41018E-11	CTCFL_HUMAN.H11MO.0.A	1.21564E-07	CTCFL_MOUSE.H11MO.0.A	2.8584E-07	CTCF_C2H2_1	1.19776E-06	CTCFL_MA1102.1	8.5453E-06	ZIC2_MOUSE.H11MO.0.C	0.149541	ZIC3_HUMAN.H11MO.0.B	0.149541	ZIC3_MOUSE.H11MO.0.A	0.149541
metacluster_0.pattern_1	8855	SP1/KLF	SP1_MA0079.3	2.49079E-05	KLF3_HUMAN.H11MO.0.B	3.0443E-05	KLF3_MOUSE.H11MO.0.A	3.0443E-05	KLF12_HUMAN.H11MO.0.C	3.42318E-05	SP3_HUMAN.H11MO.0.B	3.42318E-05	SP3_MOUSE.H11MO.0.B	3.42318E-05	KLF5_MA0599.1	5.50498E-05	SP1_MOUSE.H11MO.0.A	6.81582E-05	KLF6_HUMAN.H11MO.0.A	7.11732E-05	KLF6_MOUSE.H11MO.0.B	7.11732E-05
metacluster_0.pattern_2	6335	GATA	GATA3_GATA_1	0.0361336	GATA3_MA0037.3	0.0361336	GATA4_HUMAN.H11MO.0.A	0.0361336	GATA4_MOUSE.H11MO.0.A	0.0361336	GATA6_MOUSE.H11MO.0.A	0.0361336	GATA1_HUMAN.H11MO.0.A	0.0645223	GATA2_HUMAN.H11MO.0.A	0.0645223	GATA3_GATA_2	0.223267	GATA2_MOUSE.H11MO.0.A	0.223267	GATA3_HUMAN.H11MO.0.A	0.223267
metacluster_0.pattern_3	3474	BACH	BACH2_HUMAN.H11MO.0.A	1.11483E-05	BACH2_MOUSE.H11MO.0.A	1.11483E-05	BACH1_HUMAN.H11MO.0.A	2.29701E-05	BACH2_MA1101.1	2.29701E-05	Bach1+Mafk_MA0591.1	2.29701E-05	NFE2_HUMAN.H11MO.0.A	2.29701E-05	NF2L2_MOUSE.H11MO.0.A	2.46108E-05	MAF+NFE2_MA0501.1	2.58413E-05	NF2L2_HUMAN.H11MO.0.A	2.77979E-05	NFE2_MOUSE.H11MO.0.A	2.77979E-05
metacluster_0.pattern_4	3199	NFYB	NFYA_HUMAN.H11MO.0.A	7.35447E-05	NFYA_MOUSE.H11MO.0.A	7.35447E-05	NFYC_HUMAN.H11MO.0.A	7.35447E-05	NFYB_HUMAN.H11MO.0.A	0.000167804	NFYB_MOUSE.H11MO.0.A	0.000167804	NFYC_MOUSE.H11MO.0.B	0.000167804	NFYB_MA0502.1	0.000167804	NFYA_MA0060.3	0.00781644	FOXI1_HUMAN.H11MO.0.B	0.00781644	FOXI1_MOUSE.H11MO.0.B	0.00781644
metacluster_0.pattern_5	1797	ELK	ELK1_ETS_2	0.000193901	ELK1_ETS_4	0.000193901	ELK1_MA0028.2	0.000193901	Elk3.mouse_ETS_1	0.000193901	ELF1_ETS_1	0.000193901	ELF1_MA0473.2	0.000193901	ELK1_ETS_1	0.000568713	ELK3_ETS_1	0.000568713	ELK3_MA0759.1	0.000568713	GABPA_ETS_1	0.000568713
metacluster_0.pattern_6	1414	ETV4	ETV4_MOUSE.H11MO.0.B	0.00210139	ERG_HUMAN.H11MO.0.A	0.00260724	EHF_HUMAN.H11MO.0.B	0.00260724	EHF_MOUSE.H11MO.0.B	0.00260724	ELF5_HUMAN.H11MO.0.A	0.00260724	ELF2_MOUSE.H11MO.0.C	0.00346976	ELF3_HUMAN.H11MO.0.A	0.00346976	ELF3_MOUSE.H11MO.0.B	0.00346976	ETS1_HUMAN.H11MO.0.A	0.00721377	ETV5_HUMAN.H11MO.0.C	0.00937079
metacluster_0.pattern_7	1106	CEBPG	ATF4_HUMAN.H11MO.0.A	0.000121553	ATF4_MOUSE.H11MO.0.A	0.000121553	CEBPG_MOUSE.H11MO.0.B	0.000121553	CEBPG_HUMAN.H11MO.0.B	0.000121553	DDIT3_MOUSE.H11MO.0.C	0.00947708	Atf4.mouse_bZIP_1	0.0148192	ATF4_MA0833.1	0.0308224	ATF4_bZIP_1	0.0308224	NFIL3_MOUSE.H11MO.0.C	0.415238	HLF_MOUSE.H11MO.0.C	0.445092
metacluster_0.pattern_8	1058	ARNTL	USF1_HUMAN.H11MO.0.A	1.76704E-05	USF2_MA0526.2	1.76704E-05	USF1_MOUSE.H11MO.0.A	1.76704E-05	MITF_MA0620.2	2.3855E-05	TFEB_MA0692.1	3.17054E-05	TFEB_bHLH_1	3.17054E-05	ARNTL_bHLH_1	3.17054E-05	USF1_MA0093.2	3.17054E-05	BHLHE41_MA0636.1	3.17054E-05	BHLHE41_bHLH_1	3.17054E-05
metacluster_0.pattern_9	1006	BACH.1	NF2L2_MOUSE.H11MO.0.A	0.000268737	BACH2_HUMAN.H11MO.0.A	0.000268737	BACH2_MOUSE.H11MO.0.A	0.000268737	MAF+NFE2_MA0501.1	0.000394347	Nfe2l2_MA0150.2	0.000394347	NFE2_MOUSE.H11MO.0.A	0.000394347	NFE2_HUMAN.H11MO.0.A	0.000394347	NF2L2_HUMAN.H11MO.0.A	0.000431317	BACH1_MOUSE.H11MO.0.C	0.000610925	Bach1+Mafk_MA0591.1	0.000659799
