Pattern	Num_Seqlets	Label	Match_1	q-value	Match_2	q-value	Match_3	q-value	Match_4	q-value	Match_5	q-value	Match_6	q-value	Match_7	q-value	Match_8	q-value	Match_9	q-value	Match_10	q-value
metacluster_0.pattern_0	12752	IRF	IRF1_MOUSE.H11MO.0.A	0.00123234	IRF1_HUMAN.H11MO.0.A	0.00141165	STAT2_HUMAN.H11MO.0.A	0.00169989	STAT2_MOUSE.H11MO.0.A	0.00169989	IRF1_MA0050.2	0.00254822	IRF2_HUMAN.H11MO.0.A	0.00254822	IRF2_MOUSE.H11MO.0.B	0.00254822	STAT1_MOUSE.H11MO.0.A	0.00301993	STAT1+STAT2_MA0517.1	0.00452365	IRF4_MOUSE.H11MO.0.A	0.00452365
metacluster_0.pattern_1	11792	CTCF	CTCF_MA0139.1	1.82375E-12	CTCF_HUMAN.H11MO.0.A	1.4477E-09	CTCF_MOUSE.H11MO.0.A	1.35443E-08	CTCF_C2H2_1	4.61757E-06	CTCFL_HUMAN.H11MO.0.A	8.85795E-06	CTCFL_MOUSE.H11MO.0.A	1.08252E-05	CTCFL_MA1102.1	0.000147537	ZIC2_MOUSE.H11MO.0.C	0.113059	ZIC3_HUMAN.H11MO.0.B	0.139138	ZIC3_MOUSE.H11MO.0.A	0.139138
metacluster_0.pattern_2	10560	SPIB	SPIB_MOUSE.H11MO.0.A	0.000116545	BC11A_HUMAN.H11MO.0.A	0.000153838	SPIB_HUMAN.H11MO.0.A	0.000157988	SPI1_HUMAN.H11MO.0.A	0.000179671	SPI1_MOUSE.H11MO.0.A	0.0010268	ETV5_HUMAN.H11MO.0.C	0.00158764	ELF5_HUMAN.H11MO.0.A	0.001633	IRF4_HUMAN.H11MO.0.A	0.00187398	IRF8_HUMAN.H11MO.0.B	0.00187398	IRF8_MOUSE.H11MO.0.A	0.00187398
metacluster_0.pattern_3	6013	AP1	JDP2_MA0655.1	0.00317843	JDP2_bZIP_3	0.00317843	FOS+JUND_MA1141.1	0.00317843	NFE2_MA0841.1	0.00317843	NFE2_bZIP_1	0.00317843	FOS+JUN_MA0099.3	0.00317843	Jdp2.mouse_bZIP_1	0.00317843	FOSL1+JUN_MA1128.1	0.00317843	NF2L2_HUMAN.H11MO.0.A	0.00317843	FOSL2+JUN_MA1130.1	0.00317843
metacluster_0.pattern_4	4910	RUNX	RUNX3_HUMAN.H11MO.0.A	0.0198484	RUNX1_HUMAN.H11MO.0.A	0.0198484	RUNX1_MOUSE.H11MO.0.A	0.0198484	RUNX1_MA0002.2	0.0707824	RUNX2_MOUSE.H11MO.0.A	0.0707824	RUNX3_MOUSE.H11MO.0.A	0.0707824	RUNX2_HUMAN.H11MO.0.A	0.078004	ZNF8_HUMAN.H11MO.0.C	0.128916	PEBB_HUMAN.H11MO.0.C	0.219208	PEBB_MOUSE.H11MO.0.C	0.219208
metacluster_0.pattern_5	4708	NFKB/REL	RELB_HUMAN.H11MO.0.C	3.91571E-06	RELB_MOUSE.H11MO.0.C	3.91571E-06	NFKB2_HUMAN.H11MO.0.B	3.91571E-06	NFKB2_MOUSE.H11MO.0.C	3.91571E-06	NFKB1_HUMAN.H11MO.1.B	4.02142E-06	NFKB1_MOUSE.H11MO.0.A	4.02142E-06	TF65_MOUSE.H11MO.0.A	7.59709E-06	TF65_HUMAN.H11MO.0.A	2.22171E-05	REL_MA0101.1	2.22171E-05	RELA_MA0107.1	7.68813E-05
metacluster_0.pattern_6	2744	ELK	Gabpa_MA0062.2	1.46325E-05	ELK4_HUMAN.H11MO.0.A	1.46325E-05	ELK4_MA0076.2	5.69336E-05	ELK1_ETS_1	6.46884E-05	ELK3_ETS_1	6.46884E-05	ELK3_MA0759.1	6.46884E-05	ELK4_ETS_1	6.46884E-05	ELK1_HUMAN.H11MO.0.B	7.23975E-05	GABPA_HUMAN.H11MO.0.A	7.23975E-05	ELK1_ETS_2	7.23975E-05
metacluster_0.pattern_7	2448	SP1/KLF	SP1_HUMAN.H11MO.0.A	5.04327E-07	KLF12_HUMAN.H11MO.0.C	8.92162E-06	SP3_HUMAN.H11MO.0.B	2.45345E-05	SP3_MOUSE.H11MO.0.B	2.45345E-05	SP1_MA0079.3	0.000111604	SP2_HUMAN.H11MO.0.A	0.000168777	SP2_MOUSE.H11MO.0.B	0.000168777	SP2_MA0516.1	0.000168777	SP4_HUMAN.H11MO.0.A	0.000168777	SP4_MOUSE.H11MO.0.B	0.000168777
metacluster_0.pattern_8	1242	NFKB/REL	REL_MA0101.1	0.152978	NFKB1_HUMAN.H11MO.1.B	0.152978	NFKB1_MOUSE.H11MO.0.A	0.152978	TF65_HUMAN.H11MO.0.A	0.152978	RELA_MA0107.1	0.152978	RELB_HUMAN.H11MO.0.C	0.152978	RELB_MOUSE.H11MO.0.C	0.152978	TF65_MOUSE.H11MO.0.A	0.171969	RELB_MA1117.1	0.41491	NFKB2_HUMAN.H11MO.0.B	0.41491
metacluster_0.pattern_9	1200	NFKB/REL	NFKB1_HUMAN.H11MO.1.B	0.00613796	NFKB1_MOUSE.H11MO.0.A	0.00613796	TF65_MOUSE.H11MO.0.A	0.00748546	REL_MA0101.1	0.00748546	RELB_MA1117.1	0.00748546	REL_HUMAN.H11MO.0.B	0.00748546	REL_MOUSE.H11MO.0.A	0.00748546	NFKB2_MA0778.1	0.00808356	NFKB2_NFAT_1	0.00808356	NFKB2_HUMAN.H11MO.0.B	0.00808356
