Pattern	Num_Seqlets	Label	Match_1	q-value	Match_2	q-value	Match_3	q-value	Match_4	q-value	Match_5	q-value	Match_6	q-value	Match_7	q-value	Match_8	q-value	Match_9	q-value	Match_10	q-value
metacluster_0.pattern_0	16433	CTCF	CTCF_MA0139.1	3.85169E-16	CTCF_HUMAN.H11MO.0.A	6.69421E-13	CTCF_MOUSE.H11MO.0.A	1.07222E-11	CTCFL_HUMAN.H11MO.0.A	1.96083E-07	CTCFL_MOUSE.H11MO.0.A	3.36026E-07	CTCF_C2H2_1	1.61517E-06	CTCFL_MA1102.1	7.42805E-06	ZIC2_MOUSE.H11MO.0.C	0.152296	ZIC3_HUMAN.H11MO.0.B	0.152296	ZIC3_MOUSE.H11MO.0.A	0.152296
metacluster_0.pattern_1	12833	HNF4G	HNF4G_MA0484.1	6.87327E-10	HNF4G_HUMAN.H11MO.0.B	3.27926E-08	HNF4G_MOUSE.H11MO.0.C	3.27926E-08	HNF4A_HUMAN.H11MO.0.A	1.38111E-07	HNF4A_MOUSE.H11MO.0.A	1.11847E-06	HNF4A_nuclearreceptor_5	0.000157254	Hnf4a.mouse_nuclearreceptor_1	0.000157254	Hnf4a_MA0114.3	0.000157254	HNF4A_nuclearreceptor_1	0.000157254	HNF4A_nuclearreceptor_3	0.000157254
metacluster_0.pattern_2	5275	FOXM1	FOXM1_HUMAN.H11MO.0.A	0.217681	FOXM1_MOUSE.H11MO.0.B	0.217681	FOXP3_MA0850.1	0.217681	FOXP3_forkhead_1	0.217681	ANDR_HUMAN.H11MO.0.A	0.217681	FOXD2_MA0847.1	0.217681	FOXD2_forkhead_2	0.217681	Foxk1.mouse_forkhead_2	0.217681	FOXL1_MA0033.2	0.217681	FOXL1_forkhead_1	0.217681
metacluster_0.pattern_3	3982	SP1/KLF	SP3_HUMAN.H11MO.0.B	7.31278E-06	SP3_MOUSE.H11MO.0.B	7.31278E-06	KLF12_HUMAN.H11MO.0.C	1.53904E-05	SP1_HUMAN.H11MO.0.A	1.53904E-05	SP1_MA0079.3	3.51291E-05	SP1_MOUSE.H11MO.0.A	6.10615E-05	SP2_HUMAN.H11MO.0.A	0.000124247	SP2_MOUSE.H11MO.0.B	0.000124247	SP4_HUMAN.H11MO.0.A	0.000124247	SP4_MOUSE.H11MO.0.B	0.000124247
metacluster_0.pattern_4	3935	FOXO6	FOXO6_MA0849.1	0.000876216	FOXO6_forkhead_2	0.000876216	FOXO4_forkhead_1	0.000876216	FOXP2_HUMAN.H11MO.0.C	0.000876216	FOXO3_HUMAN.H11MO.0.B	0.000876216	FOXO3_MOUSE.H11MO.0.B	0.000876216	FOXI1_MA0042.2	0.000876216	FOXI1_forkhead_1	0.000876216	FOXO4_MA0848.1	0.000876216	FOXO4_forkhead_2	0.000876216
metacluster_0.pattern_5	3057	HNF1B	HNF1B_MA0153.2	1.26857E-07	HNF1B_homeodomain_1	1.26857E-07	HNF1B_homeodomain_2	1.60643E-06	HNF1B_HUMAN.H11MO.0.A	1.60643E-06	HNF1B_MOUSE.H11MO.0.A	1.60643E-06	HNF1A_MA0046.2	2.40004E-06	HNF1A_homeodomain_1	2.40004E-06	HNF1A_HUMAN.H11MO.0.C	1.39148E-05	HNF1A_MOUSE.H11MO.0.A	5.27728E-05	Alx4_MA0853.1	0.134471
metacluster_0.pattern_6	2863	AP1	ATF3_MOUSE.H11MO.0.A	0.00498557	JUN_MOUSE.H11MO.0.A	0.00498557	JUNB_HUMAN.H11MO.0.A	0.00498557	JUND_HUMAN.H11MO.0.A	0.00498557	JUND_MOUSE.H11MO.0.A	0.00498557	JUN_HUMAN.H11MO.0.A	0.00498557	FOSL1_HUMAN.H11MO.0.A	0.00498557	FOSL1_MOUSE.H11MO.0.A	0.00498557	FOS_MOUSE.H11MO.0.A	0.00498557	FOS_HUMAN.H11MO.0.A	0.005675
metacluster_0.pattern_7	2554	CEBPB	CEBPB_MOUSE.H11MO.0.A	1.95741E-06	CEBPA_HUMAN.H11MO.0.A	7.72718E-06	CEBPA_MA0102.3	1.11511E-05	CEBPA_MOUSE.H11MO.0.A	1.33644E-05	CEBPB_HUMAN.H11MO.0.A	1.60372E-05	CEBPD_HUMAN.H11MO.0.C	1.96335E-05	CEBPE_MA0837.1	0.0006624	CEBPE_bZIP_1	0.0006624	CEBPB_MA0466.2	0.000729864	CEBPB_bZIP_1	0.000729864
metacluster_0.pattern_8	2323	NFYB	NFYB_HUMAN.H11MO.0.A	0.00197795	NFYB_MOUSE.H11MO.0.A	0.00197795	NFYA_HUMAN.H11MO.0.A	0.00514541	NFYA_MOUSE.H11MO.0.A	0.00514541	NFYC_HUMAN.H11MO.0.A	0.00514541	NFYC_MOUSE.H11MO.0.B	0.00806888	NFYB_MA0502.1	0.0125919	NFYA_MA0060.3	0.0321692	Dux_MA0611.1	0.0321692	FOXI1_HUMAN.H11MO.0.B	0.0382991
metacluster_0.pattern_9	2256	ELK	ELK1_MOUSE.H11MO.0.B	0.000143379	Gabpa_MA0062.2	0.000143379	ELK4_MA0076.2	0.000143379	EHF_ETS_1	0.000143379	EHF_MA0598.2	0.000143379	ELF4_ETS_1	0.000143379	ELF4_MA0641.1	0.000143379	ELK4_HUMAN.H11MO.0.A	0.000143379	ELK1_ETS_2	0.00115536	ELK1_ETS_4	0.00115536
