sample	path	normalize	normalization_region	normalization_file	type
GM12878 ATAC observed	/mnt/lab_data2/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/data/GM12878_unstranded.bw	False	/mnt/lab_data2/anusri/chrombpnet/results/chrombpnet/DNASE_SE/GM12878/nautilus_runs/GM12878_03.06.2022_bias_128_4_1234_0.8_fold_0/interpret/GM12878.interpreted_regions.bed	/mnt/lab_data2/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/data/GM12878_unstranded.bw	single
uncorrected predicted	/mnt/lab_data2/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/nautilus_runs/GM12878_03.01.2022_bias_128_4_1234_0.4_fold_0/interpret/GM12878_w_bias.bw	False /mnt/lab_data2/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/nautilus_runs/GM12878_03.01.2022_bias_128_4_1234_0.4_fold_0/interpret/GM12878.interpreted_regions.bed	/mnt/lab_data2/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/nautilus_runs/GM12878_03.01.2022_bias_128_4_1234_0.4_fold_0/interpret/GM12878_w_bias.bw	single
uncorrected profile	/mnt/lab_data2/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/nautilus_runs/GM12878_03.01.2022_bias_128_4_1234_0.4_fold_0/locus/betaglobin_w_bias.GM12878.profile.bw	False	None	None	dynseq
NN bias predicted	/mnt/lab_data2/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/nautilus_runs/GM12878_03.01.2022_bias_128_4_1234_0.4_fold_0/interpret/GM12878bias.bw	False	/mnt/lab_data2/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/nautilus_runs/GM12878_03.01.2022_bias_128_4_1234_0.4_fold_0/interpret/GM12878.interpreted_regions.bed	/mnt/lab_data2/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/nautilus_runs/GM12878_03.01.2022_bias_128_4_1234_0.4_fold_0/interpret/GM12878bias.bw	single
NN bias profile	/mnt/lab_data2/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/nautilus_runs/GM12878_03.01.2022_bias_128_4_1234_0.4_fold_0/bias/betaglobin_w_bias.GM12878.profile.bw	False	None	None	dynseq
chrombpnet with NN bias corrected predicted	/mnt/lab_data2/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/nautilus_runs/GM12878_03.01.2022_bias_128_4_1234_0.4_fold_0/interpret/GM12878_wo_bias.bw	False	/mnt/lab_data2/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/nautilus_runs/GM12878_03.01.2022_bias_128_4_1234_0.4_fold_0/interpret/GM12878.interpreted_regions.bed	/mnt/lab_data2/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/nautilus_runs/GM12878_03.01.2022_bias_128_4_1234_0.4_fold_0/interpret/GM12878_w_bias.bw	single
chrombpnet with NN bias corrected profile	/mnt/lab_data2/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/nautilus_runs/GM12878_03.01.2022_bias_128_4_1234_0.4_fold_0/interpret/merged.GM12878.profile.bw	False	None	None	dynseq
chrombpnet with hint-atac  bias corrected predicted	/mnt/lab_data2/anusri/chrombpnet/results/hint_atac/ATAC_PE/GM12878/ATAC_PE_03.06.2022_hint_atac/interpret/GM12878_wo_bias.bw	False	/mnt/lab_data2/anusri/chrombpnet/results/hint_atac/ATAC_PE/GM12878/ATAC_PE_03.06.2022_hint_atac/interpret/GM12878.interpreted_regions.bed	/mnt/lab_data2/anusri/chrombpnet/results/hint_atac/ATAC_PE/GM12878/ATAC_PE_03.06.2022_hint_atac/interpret/GM12878_w_bias.bw	single
chrombpnet with hint-atac bias corrected profile	/mnt/lab_data2/anusri/chrombpnet/results/hint_atac/ATAC_PE/GM12878/ATAC_PE_03.06.2022_hint_atac/interpret/merged.GM12878.profile.bw	False	None	None	dynseq
chrombpnet with tobias bias corrected predicted	/mnt/lab_data2/anusri/chrombpnet/results/tobias/ATAC_PE/GM12878/ATAC_PE_04.06.2022_tobias_with_bias_bigwig/interpret/GM12878_wo_bias.bw	False	/mnt/lab_data2/anusri/chrombpnet/results/tobias/ATAC_PE/GM12878/ATAC_PE_04.06.2022_tobias_with_bias_bigwig/interpret/GM12878.interpreted_regions.bed	/mnt/lab_data2/anusri/chrombpnet/results/tobias/ATAC_PE/GM12878/ATAC_PE_04.06.2022_tobias_with_bias_bigwig/interpret/GM12878_w_bias.bw	single
chrombpnet with tobias bias corrected profile	/mnt/lab_data2/anusri/chrombpnet/results/tobias/ATAC_PE/GM12878/ATAC_PE_04.06.2022_tobias_with_bias_bigwig/interpret/merged.GM12878.profile.bw	False	None	None	dynseq
