sample	path	normalize	normalization_region	normalization_file	type	Min	Max	Scale	Color
ATAC 500M observed	/mnt/lab_data2/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/data/GM12878_unstranded.bw	TRUE	None	None	single	None	None	3.26367792781148	1B9E77
500M corrected	/mnt/lab_data2/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/nautilus_runs/GM12878_03.01.2022_bias_128_4_1234_0.4_fold_0/interpret/GM12878_wo_bias.bw	TRUE	None	None	single	None	None	1.49254637494212	1B9E77
500M importance	/mnt/lab_data2/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/nautilus_runs/GM12878_03.01.2022_bias_128_4_1234_0.4_fold_0/interpret/merged.GM12878.counts.bw	TRUE	None	None	dynseq	-0.016724	0.110323	None	None
250M observed	/mnt/lab_data3/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/data_250M/GM12878_unstranded.bw	TRUE	None	None	single	None	None	1.23039196133995	D95F02
250M corrected	/oak/stanford/groups/akundaje/projects/chromatin-atlas-2022/chrombpnet/folds/ATAC/GM12878_250M/GM12878_250M_07.19.2022_bias_transfer_1234_fold_0_data_type_ATAC_PE/chrombpnet_model/interpret/full_GM12878_250M_wo_bias.bw	TRUE	None	None	single	None	None	0.882728738217036	D95F02
250M importance	/oak/stanford/groups/akundaje/projects/chromatin-atlas-2022/chrombpnet/folds/ATAC/GM12878_250M/GM12878_250M_07.19.2022_bias_transfer_1234_fold_0_data_type_ATAC_PE/chrombpnet_model/interpret/full_GM12878_250M.counts.bigwig	TRUE	None	None	dynseq	-0.022582	0.133965	None	None
100M observed	/mnt/lab_data3/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/data_100M/GM12878_unstranded.bw	TRUE	None	None	single	None	None	0.572878463696511	7570B3
100M corrected	/oak/stanford/groups/akundaje/projects/chromatin-atlas-2022/chrombpnet/folds/ATAC/GM12878_100M/GM12878_100M_07.19.2022_bias_transfer_1234_fold_0_data_type_ATAC_PE/chrombpnet_model/interpret/full_GM12878_100M_wo_bias.bw	TRUE	None	None	single	None	None	0.368218511097128	7570B3
100M importance	/oak/stanford/groups/akundaje/projects/chromatin-atlas-2022/chrombpnet/folds/ATAC/GM12878_100M/GM12878_100M_07.19.2022_bias_transfer_1234_fold_0_data_type_ATAC_PE/chrombpnet_model/interpret/full_GM12878_100M.counts.bigwig	TRUE	None	None	dynseq	-0.021973	0.115341	None	None
50M observed	/mnt/lab_data3/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/data_50M/GM12878_unstranded.bw	TRUE	None	None	single	None	None	0.335615176012515	E7298A
50M corrected	/oak/stanford/groups/akundaje/projects/chromatin-atlas-2022/chrombpnet/folds/ATAC/GM12878_50M/GM12878_50M_07.18.2022_bias_transfer_1234_fold_0_data_type_ATAC_PE/chrombpnet_model/interpret/full_GM12878_50M_wo_bias.bw	TRUE	None	None	single	None	None	0.226465609235877	E7298A
50M importance	/oak/stanford/groups/akundaje/projects/chromatin-atlas-2022/chrombpnet/folds/ATAC/GM12878_50M/GM12878_50M_07.18.2022_bias_transfer_1234_fold_0_data_type_ATAC_PE/chrombpnet_model/interpret/full_GM12878_50M.counts.bigwig	TRUE	None	None	dynseq	-0.022613	0.118759	None	None
25M observed	/mnt/lab_data3/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/data_25M/GM12878_unstranded.bw	TRUE	None	None	single	None	None	0.196282437517214	66A61E
25M corrected	/oak/stanford/groups/akundaje/projects/chromatin-atlas-2022/chrombpnet/folds/ATAC/GM12878_25M/GM12878_25M_07.18.2022_bias_transfer_1234_fold_0_data_type_ATAC_PE/chrombpnet_model/interpret/full_GM12878_25M_wo_bias.bw	TRUE	None	None	single	None	None	0.145572239330103	66A61E
25M importance	/oak/stanford/groups/akundaje/projects/chromatin-atlas-2022/chrombpnet/folds/ATAC/GM12878_25M/GM12878_25M_07.18.2022_bias_transfer_1234_fold_0_data_type_ATAC_PE/chrombpnet_model/interpret/full_GM12878_25M.counts.bigwig	TRUE	None	None	dynseq	-0.021647	0.109293	None	None
5M observed	/mnt/lab_data3/anusri/chrombpnet/results/chrombpnet/ATAC_PE/GM12878/data_5M/GM12878_unstranded.bw	TRUE	None	None	single	None	None	0.0592412784766792	A6761D
5M corrected	/oak/stanford/groups/akundaje/projects/chromatin-atlas-2022/chrombpnet/folds/ATAC/GM12878_5M/GM12878_5M_07.18.2022_bias_transfer_1234_fold_0_data_type_ATAC_PE/chrombpnet_model/interpret/full_GM12878_5M_wo_bias.bw	TRUE	None	None	single	None	None	0.0592412784766792	A6761D
5M importance	/oak/stanford/groups/akundaje/projects/chromatin-atlas-2022/chrombpnet/folds/ATAC/GM12878_5M/GM12878_5M_07.18.2022_bias_transfer_1234_fold_0_data_type_ATAC_PE/chrombpnet_model/interpret/full_GM12878_5M.counts.bigwig	TRUE	None	None	dynseq	-0.012042	0.056156	None	None
